id,buggy_code,fixed_code,commit_message,commit_url,date
258,"def add(a, b)
    return a + b
# Sample ID: 258","def add(a, b):
    return a + b
# Sample ID: 258",Minor syntax corrections,https://github.com/open-source-repo/commit/8962c26b24156c5b13d7bcf85adaa40e3af2fb27,2024-08-11
259,"while True
    do_something()
# Sample ID: 259","while True:
    do_something()
# Sample ID: 259",Minor syntax corrections,https://github.com/open-source-repo/commit/4d1387b621c8985d21c40a5e7656ee7cf03d017a,2024-03-20
260,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 260","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 260",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/6100d287a88c8a26e4f6170d175388d7ede0fe5e,2023-12-26
261,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 261","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 261",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/e22c76cee5d8e42493b7a44542da699fcb96a940,2025-05-22
262,"if x = 5:
    print('x is 5')
# Sample ID: 262","if x == 5:
    print('x is 5')
# Sample ID: 262",Improved readability with proper indentation,https://github.com/open-source-repo/commit/2985ca1349d4265e45dc67da989a642cb56274dc,2024-01-25
263,"def foo()
    print('Missing colon in function definition')
# Sample ID: 263","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 263",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/e746c65e435ddfa75f178b3c4cdc88104824ab53,2025-01-14
264,"x = [1, 2, 3]
print x
# Sample ID: 264","x = [1, 2, 3]
print(x)
# Sample ID: 264",Minor syntax corrections,https://github.com/open-source-repo/commit/ee54c0b1d479f7fad3b3cc301b1bcd0bfceea3a2,2024-08-04
265,"def foo()
    print('Missing colon in function definition')
# Sample ID: 265","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 265",Updated function definition to include colon,https://github.com/open-source-repo/commit/9bf149a0926e53808815ec4b41c6eb7b6c3ef95f,2024-02-07
266,"while True
    do_something()
# Sample ID: 266","while True:
    do_something()
# Sample ID: 266",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/07d9459e1d52cec7827ab1af35d8eaf779c58b03,2023-10-07
267,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 267","def greet(name):
    print('Hello, ' + name)
# Sample ID: 267",Improved readability with proper indentation,https://github.com/open-source-repo/commit/62abba36e27fc5fe6860ad602888d56c730dd1e5,2024-11-16
268,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 268","def greet(name):
    print('Hello, ' + name)
# Sample ID: 268",Updated function definition to include colon,https://github.com/open-source-repo/commit/d8e70967d47339ff415404f5028c18f2e71f8105,2025-05-16
269,"while True
    do_something()
# Sample ID: 269","while True:
    do_something()
# Sample ID: 269",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/5eb18fc2610af9862ec420d99c7fab89fbc9fe5a,2025-07-21
270,"for i in range(10):
print(i)
# Sample ID: 270","for i in range(10):
    print(i)
# Sample ID: 270",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/860c788a9e7127af457337b1913282728cca39c4,2024-06-17
271,"def add(a, b)
    return a + b
# Sample ID: 271","def add(a, b):
    return a + b
# Sample ID: 271",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/76f2f92c7f334cedd5aeb7566e4d867ba7182b3e,2025-04-24
272,"for i in range(10):
print(i)
# Sample ID: 272","for i in range(10):
    print(i)
# Sample ID: 272",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/60169d58baf5b2acd094779db64df8336bd0aee5,2023-09-09
273,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 273","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 273",Improved readability with proper indentation,https://github.com/open-source-repo/commit/ab25b3790125618f90026ddcfa31c608058795a1,2025-05-12
274,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 274","def greet(name):
    print('Hello, ' + name)
# Sample ID: 274",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/07cb7fa0b17466a76d14d4d13428c7bfba4c7858,2024-11-10
275,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 275","def greet(name):
    print('Hello, ' + name)
# Sample ID: 275",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/0e5d53ff6dab3de8ad859a3d8a768a7ff16b17d0,2025-01-27
276,"for i in range(10):
print(i)
# Sample ID: 276","for i in range(10):
    print(i)
# Sample ID: 276",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/bfa4c3cda1660693e074a04d87017e1d4d51a3d1,2024-01-29
277,"def add(a, b)
    return a + b
# Sample ID: 277","def add(a, b):
    return a + b
# Sample ID: 277",Minor syntax corrections,https://github.com/open-source-repo/commit/7a42b2e0784722613566e0146204d5016a239c52,2025-06-03
278,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 278","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 278",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/9b78976c4738fdfc28f07fa4d17a89f9355674e6,2024-10-14
279,"if x = 5:
    print('x is 5')
# Sample ID: 279","if x == 5:
    print('x is 5')
# Sample ID: 279",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/6f18d3ec09864456c169d9c5baa6e4de23dc77f4,2024-10-13
280,"for i in range(10):
print(i)
# Sample ID: 280","for i in range(10):
    print(i)
# Sample ID: 280",Updated function definition to include colon,https://github.com/open-source-repo/commit/0226667bd3ecfd2a46e3697d1c27781b6ec7bb42,2023-11-21
281,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 281","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 281",Improved readability with proper indentation,https://github.com/open-source-repo/commit/fef241244e58618571bc9917aa6fa46c68abf2d8,2025-03-03
282,"def foo()
    print('Missing colon in function definition')
# Sample ID: 282","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 282",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/0d931e9f4e7e317c2cbd08de724fafa6cc3e6341,2023-08-06
283,"for i in range(10):
print(i)
# Sample ID: 283","for i in range(10):
    print(i)
# Sample ID: 283",Improved readability with proper indentation,https://github.com/open-source-repo/commit/cfd36b89514450e34b99a762e4de2f3914bc0030,2023-11-18
284,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 284","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 284",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/632eb64b667f50c00b5be3634f6d0fa7f3e531d8,2023-09-26
285,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 285","def greet(name):
    print('Hello, ' + name)
# Sample ID: 285",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/b2609e7e3d21f5469b821f1fb1f32bafe040fba6,2025-05-13
286,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 286","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 286",Minor syntax corrections,https://github.com/open-source-repo/commit/a407cd153c51db6cdb98d22d327e1aafea6c9208,2024-03-31
287,"def add(a, b)
    return a + b
# Sample ID: 287","def add(a, b):
    return a + b
# Sample ID: 287",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/ed50d13ed23f730f5b0a8bd6c27a71b9133ddc4a,2023-12-12
288,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 288","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 288",Added missing parentheses for print function,https://github.com/open-source-repo/commit/85525eae40d8bad9b3a3a9f260418139871c8629,2023-11-04
289,"while True
    do_something()
# Sample ID: 289","while True:
    do_something()
# Sample ID: 289",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/0258b3b4e3abebff3bbd8eec2161327eed24c6c1,2024-06-18
290,"x = [1, 2, 3]
print x
# Sample ID: 290","x = [1, 2, 3]
print(x)
# Sample ID: 290",Added missing parentheses for print function,https://github.com/open-source-repo/commit/39e1568df0d92df85561e6b55b0ab24b04a1776c,2024-02-17
291,"if x = 5:
    print('x is 5')
# Sample ID: 291","if x == 5:
    print('x is 5')
# Sample ID: 291",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/25427dd020e8edae6c132af89a58772464f0ff20,2025-07-08
292,"while True
    do_something()
# Sample ID: 292","while True:
    do_something()
# Sample ID: 292",Updated function definition to include colon,https://github.com/open-source-repo/commit/789d05cf4092d83995a26a6c1a0f53586cc0ee14,2025-06-17
293,"x = [1, 2, 3]
print x
# Sample ID: 293","x = [1, 2, 3]
print(x)
# Sample ID: 293",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/77b3acf85c846127d09d26fa0c3ff199ec3b9e5d,2024-08-25
294,"for i in range(10):
print(i)
# Sample ID: 294","for i in range(10):
    print(i)
# Sample ID: 294",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/3c9c42570006eaab03d1182b107577050f67400e,2024-09-28
295,"x = [1, 2, 3]
print x
# Sample ID: 295","x = [1, 2, 3]
print(x)
# Sample ID: 295",Minor syntax corrections,https://github.com/open-source-repo/commit/5a0dfe965e7b5069c46e546d32323f821821c955,2024-06-10
296,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 296","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 296",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/7b80382fa3827836c12fdd9ef9a4033fa067fff4,2024-01-30
297,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 297","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 297",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/4f22b13301d53816f1f83aa852bcd10506bff1be,2024-12-06
298,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 298","def greet(name):
    print('Hello, ' + name)
# Sample ID: 298",Improved readability with proper indentation,https://github.com/open-source-repo/commit/df7203757ca455f32c197f75b28448a1e2bf24e1,2024-02-23
299,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 299","def greet(name):
    print('Hello, ' + name)
# Sample ID: 299",Added missing parentheses for print function,https://github.com/open-source-repo/commit/41b82dd4ee70aeae81224694396782444d8decf8,2025-04-26
300,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 300","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 300",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/9ab521dcb4c05004304c8c227acc2427ed5fb3eb,2024-03-02
301,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 301","def greet(name):
    print('Hello, ' + name)
# Sample ID: 301",Minor syntax corrections,https://github.com/open-source-repo/commit/9591d71c2f264595e7b6caa771391f92cf5a4803,2023-09-27
302,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 302","def greet(name):
    print('Hello, ' + name)
# Sample ID: 302",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/8b79c62216465c5c24b0993a1708cbf382eb3035,2025-05-17
303,"def foo()
    print('Missing colon in function definition')
# Sample ID: 303","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 303",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/230ebe8430614c2f2a0457da14dd13dbd8ee2c51,2024-02-11
304,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 304","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 304",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/765d94d2b0b70b5c153d43ecab2c8149dff63de8,2024-03-21
305,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 305","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 305",Improved readability with proper indentation,https://github.com/open-source-repo/commit/b9ce0b69f520b8f238e7ec2cefc689c07f82b320,2023-11-30
306,"x = [1, 2, 3]
print x
# Sample ID: 306","x = [1, 2, 3]
print(x)
# Sample ID: 306",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/e73629d7ef097be6f9248c3ea1abb04c2d2e0fc5,2025-04-18
307,"x = [1, 2, 3]
print x
# Sample ID: 307","x = [1, 2, 3]
print(x)
# Sample ID: 307",Updated function definition to include colon,https://github.com/open-source-repo/commit/00bf7e726a9be44d1aa4199c893b8d61fb404151,2024-07-30
308,"def add(a, b)
    return a + b
# Sample ID: 308","def add(a, b):
    return a + b
# Sample ID: 308",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/c37ae6224978c8461de87a8e2a6c2112f78ff843,2024-12-03
309,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 309","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 309",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/36d2ce08da31b2c88e8cf1f3bd312bd328e0b5ac,2023-10-14
310,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 310","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 310",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/4ec8b4df3ab9019be9a920c278d3f2af62257e64,2024-09-21
311,"while True
    do_something()
# Sample ID: 311","while True:
    do_something()
# Sample ID: 311",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/204d20ef684280d50e37143c0b515c619497f470,2024-08-01
312,"def foo()
    print('Missing colon in function definition')
# Sample ID: 312","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 312",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/4aca1f23a6ec3df89ff2f54aeb8d74d8c4e1e32f,2023-12-03
313,"if x = 5:
    print('x is 5')
# Sample ID: 313","if x == 5:
    print('x is 5')
# Sample ID: 313",Minor syntax corrections,https://github.com/open-source-repo/commit/92094858b4b10b3cd509008319b90e1287c21706,2024-08-22
314,"def foo()
    print('Missing colon in function definition')
# Sample ID: 314","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 314",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/0cb369b3e59ca9b8aa90a3e19a0b23bf5e8b39ba,2024-02-04
315,"for i in range(10):
print(i)
# Sample ID: 315","for i in range(10):
    print(i)
# Sample ID: 315",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/9343ef11ac514e31395031aae416c9d5fb262ea5,2025-05-13
316,"for i in range(10):
print(i)
# Sample ID: 316","for i in range(10):
    print(i)
# Sample ID: 316",Improved readability with proper indentation,https://github.com/open-source-repo/commit/819603b4ed55eb4ca96afe529e6878c0841ca5ba,2025-04-11
317,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 317","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 317",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/c48573ef492d31d952e562cf513e295238156ab5,2024-01-13
318,"def add(a, b)
    return a + b
# Sample ID: 318","def add(a, b):
    return a + b
# Sample ID: 318",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/4c8638c9253fe9bcd2e0c70320d17ee01a65e3c5,2023-09-17
319,"def foo()
    print('Missing colon in function definition')
# Sample ID: 319","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 319",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/357f07f59fd013166162bcd5c49dcf6a7aaa49b2,2024-09-18
320,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 320","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 320",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/dc72205ca883e49548bd07990046ab28d77ff0f5,2024-12-18
321,"def add(a, b)
    return a + b
# Sample ID: 321","def add(a, b):
    return a + b
# Sample ID: 321",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/c487356eb4e26d69b13bc24cfe68e00c7f665a04,2024-11-13
322,"while True
    do_something()
# Sample ID: 322","while True:
    do_something()
# Sample ID: 322",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/91134f1d69815c3f6d962d5f397a9fcdc8664f61,2024-12-13
323,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 323","def greet(name):
    print('Hello, ' + name)
# Sample ID: 323",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/ac822cc898f22da082a4e46b73c1c4973539a20c,2024-06-17
324,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 324","def greet(name):
    print('Hello, ' + name)
# Sample ID: 324",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/d536e29982c181c15712f2f868a12c1f2d1f78f6,2024-02-09
325,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 325","def greet(name):
    print('Hello, ' + name)
# Sample ID: 325",Added missing parentheses for print function,https://github.com/open-source-repo/commit/6fe9038c8ba707e6ad3d7b2b44f3535b24b14d77,2025-06-25
326,"def add(a, b)
    return a + b
# Sample ID: 326","def add(a, b):
    return a + b
# Sample ID: 326",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/c5a78de867815434dd15d3f58ad223bcd0dae43c,2025-07-23
327,"while True
    do_something()
# Sample ID: 327","while True:
    do_something()
# Sample ID: 327",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/c5800237f8a13534a99b43cfad24be28f576923c,2024-01-09
328,"def add(a, b)
    return a + b
# Sample ID: 328","def add(a, b):
    return a + b
# Sample ID: 328",Improved readability with proper indentation,https://github.com/open-source-repo/commit/a72e794776033c800d75078d6d8b428704617f0b,2025-05-03
329,"x = [1, 2, 3]
print x
# Sample ID: 329","x = [1, 2, 3]
print(x)
# Sample ID: 329",Updated function definition to include colon,https://github.com/open-source-repo/commit/0a8efcd518832e4ca8bcab1aa235ba3c04367e7e,2023-11-25
330,"def foo()
    print('Missing colon in function definition')
# Sample ID: 330","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 330",Added missing parentheses for print function,https://github.com/open-source-repo/commit/13aa7c3236dcbb9679a36fff57fa8bbc25fe8688,2024-08-29
331,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 331","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 331",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/82893e32d1fd3c03b5090a2c2881de6df83cabf9,2024-10-14
332,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 332","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 332",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/d3838821a2d5bcf5be842fe2a4fa0e7879c45fd3,2024-04-01
333,"def foo()
    print('Missing colon in function definition')
# Sample ID: 333","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 333",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/5a879565b3960541f2d4e1637c2b55e55838d874,2025-04-03
334,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 334","def greet(name):
    print('Hello, ' + name)
# Sample ID: 334",Added missing parentheses for print function,https://github.com/open-source-repo/commit/0bb194b2d426eb3f26e28b200b14d06cdc3cad9f,2025-01-09
335,"def foo()
    print('Missing colon in function definition')
# Sample ID: 335","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 335",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/deb8523d6d52fa86ce9cbd24c839c3340177c167,2023-11-29
336,"if x = 5:
    print('x is 5')
# Sample ID: 336","if x == 5:
    print('x is 5')
# Sample ID: 336",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/f67db039160738719c1a574371c3e76861ed29e0,2025-04-30
337,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 337","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 337",Minor syntax corrections,https://github.com/open-source-repo/commit/15cc465545d6112b35bc385b423ce3c9f7696d8d,2025-07-01
338,"while True
    do_something()
# Sample ID: 338","while True:
    do_something()
# Sample ID: 338",Added missing parentheses for print function,https://github.com/open-source-repo/commit/4adf0460ed48e576e4ab1549d9cdd2b2b00c9d7a,2024-09-10
339,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 339","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 339",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/a1fb1a6e833f8d6483ad3395df846068ab70f9e7,2023-12-05
340,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 340","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 340",Improved readability with proper indentation,https://github.com/open-source-repo/commit/5a689e82f067d60308fafe78ac0c73d5fa6eee7a,2024-04-18
341,"while True
    do_something()
# Sample ID: 341","while True:
    do_something()
# Sample ID: 341",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/b8dbf3c0e6603696d43bcb66712b6f0b67b67087,2024-06-29
342,"while True
    do_something()
# Sample ID: 342","while True:
    do_something()
# Sample ID: 342",Improved readability with proper indentation,https://github.com/open-source-repo/commit/b6c49285ca89f124cfa691d954faefe9f2298e76,2024-12-10
343,"if x = 5:
    print('x is 5')
# Sample ID: 343","if x == 5:
    print('x is 5')
# Sample ID: 343",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/afc5ee947d52c4904d0c61dca4a9f1eabab77563,2024-04-25
344,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 344","def greet(name):
    print('Hello, ' + name)
# Sample ID: 344",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/7d263d93003829cc619ded96fefeae9bda88b9f6,2024-02-14
345,"x = [1, 2, 3]
print x
# Sample ID: 345","x = [1, 2, 3]
print(x)
# Sample ID: 345",Improved readability with proper indentation,https://github.com/open-source-repo/commit/af8ec2b7f529d2edb18572c2f14577314c110dcb,2024-07-10
346,"def add(a, b)
    return a + b
# Sample ID: 346","def add(a, b):
    return a + b
# Sample ID: 346",Updated function definition to include colon,https://github.com/open-source-repo/commit/117f5d9e6886f46e5a62e3af028dd363e7d6c976,2024-12-12
347,"x = [1, 2, 3]
print x
# Sample ID: 347","x = [1, 2, 3]
print(x)
# Sample ID: 347",Improved readability with proper indentation,https://github.com/open-source-repo/commit/fcba252959478f0106f97680cff330c6e982c801,2025-05-30
348,"def add(a, b)
    return a + b
# Sample ID: 348","def add(a, b):
    return a + b
# Sample ID: 348",Minor syntax corrections,https://github.com/open-source-repo/commit/0e2ca6c1567d958e43abac912b9202bd6c0ee78d,2024-01-05
349,"def add(a, b)
    return a + b
# Sample ID: 349","def add(a, b):
    return a + b
# Sample ID: 349",Minor syntax corrections,https://github.com/open-source-repo/commit/28134cbb5f08e2980e31c09d03bf9d12d6a816eb,2025-06-22
350,"while True
    do_something()
# Sample ID: 350","while True:
    do_something()
# Sample ID: 350",Minor syntax corrections,https://github.com/open-source-repo/commit/6339b171543b4f9ab6be0c23ca55c1f20a671a1d,2024-09-21
351,"def add(a, b)
    return a + b
# Sample ID: 351","def add(a, b):
    return a + b
# Sample ID: 351",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/b6bbc0622b6bd6a2fbce10bfaccf88180e397675,2024-08-07
352,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 352","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 352",Added missing parentheses for print function,https://github.com/open-source-repo/commit/a30ae4cd7f10773b1aaca82e3835e2f54993c94b,2024-03-20
353,"for i in range(10):
print(i)
# Sample ID: 353","for i in range(10):
    print(i)
# Sample ID: 353",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/de79733c3117495401eb7ced997cdf9c0f80a52a,2023-10-21
354,"if x = 5:
    print('x is 5')
# Sample ID: 354","if x == 5:
    print('x is 5')
# Sample ID: 354",Improved readability with proper indentation,https://github.com/open-source-repo/commit/66861ddce41e544a6ce3a3ce12c18287ac42c0d4,2025-07-15
355,"for i in range(10):
print(i)
# Sample ID: 355","for i in range(10):
    print(i)
# Sample ID: 355",Improved readability with proper indentation,https://github.com/open-source-repo/commit/fa4a1c63853d46eeafc0160d776594bf635d16d6,2025-06-08
356,"def foo()
    print('Missing colon in function definition')
# Sample ID: 356","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 356",Updated function definition to include colon,https://github.com/open-source-repo/commit/22fc670eaf052f7573384953ec5aca6fdce1effc,2023-07-31
357,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 357","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 357",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/4db196cfb8abec5bd3a0a7aba509ac7f3c603455,2025-01-03
358,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 358","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 358",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/077bc882e0a70c4d4d2d671b3678c98165f7b5a7,2024-04-06
359,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 359","def greet(name):
    print('Hello, ' + name)
# Sample ID: 359",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/94865a3eb8f9e0621a9a195f35a942b73dbb704e,2024-09-24
360,"while True
    do_something()
# Sample ID: 360","while True:
    do_something()
# Sample ID: 360",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/24aca07b727f3450c86012aa89e484502260df09,2025-07-05
361,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 361","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 361",Minor syntax corrections,https://github.com/open-source-repo/commit/09ac9b1e964bfb719802e814515d5613664138f1,2023-09-02
362,"for i in range(10):
print(i)
# Sample ID: 362","for i in range(10):
    print(i)
# Sample ID: 362",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/077053d71df5877d1fce8963917ec5957f414acf,2023-12-27
363,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 363","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 363",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/d84cde91e8adbb1fac3a430dd44fe7093ef9bcb4,2025-03-02
364,"x = [1, 2, 3]
print x
# Sample ID: 364","x = [1, 2, 3]
print(x)
# Sample ID: 364",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/0e3bf490ee31defc2c9b39228358ea8922134c00,2024-08-03
365,"for i in range(10):
print(i)
# Sample ID: 365","for i in range(10):
    print(i)
# Sample ID: 365",Minor syntax corrections,https://github.com/open-source-repo/commit/a42dba4d67e8d59de5066907a3e222ba30db1892,2024-12-22
366,"while True
    do_something()
# Sample ID: 366","while True:
    do_something()
# Sample ID: 366",Added missing parentheses for print function,https://github.com/open-source-repo/commit/7a270f8a564d1b8bf1cf6c8ae0364f9197ecb595,2024-07-13
367,"def foo()
    print('Missing colon in function definition')
# Sample ID: 367","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 367",Minor syntax corrections,https://github.com/open-source-repo/commit/7b29995f1692765f9df0dfdf84ec86f3ca93e779,2025-03-21
368,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 368","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 368",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/8145e294ff8b080e91b907067f6c5a55ac386e8d,2023-11-20
